,Event Date,Event Type,Restoration,Number of Customers Affected,Area Affected,States,Event Category,Region
674,2008-01-01 00:00:00,Lightning Storm,2008-05-27 15:52:00,56400,South West Connecticut,Connecticut,Severe Weather,Other
675,2008-01-01 00:00:00,Severe Storms,2008-05-30 23:00:00,109000,Northern and Western Counties of Illinois,Illinois,Severe Weather,MidWest
676,2008-01-01 00:00:00,"Load Shedding, Inadequate Electric Resources to Serve Load",2008-05-30 20:00:00,,South Louisiana,Louisiana,System Operations,Southern
677,2008-01-01 00:00:00,Severe Thunderstorms,2008-06-04 23:59:00,70000,"Northeastern Marion County, Indiana",Indiana,Severe Weather,MidWest
679,2008-01-01 00:00:00,Severe Weather,2008-06-07 23:00:00,157168,"Maryland, West Virginia, Virginia",Maryland,Severe Weather,Southern
679,2008-01-01 00:00:00,Severe Weather,2008-06-07 23:00:00,157168,"Maryland, West Virginia, Virginia",Virginia,Severe Weather,Southern
679,2008-01-01 00:00:00,Severe Weather,2008-06-07 23:00:00,157168,"Maryland, West Virginia, Virginia",West Virginia,Severe Weather,Southern
680,2008-01-01 00:00:00,Lightning Storm,2008-06-05 01:00:00,249408,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",Maryland,Severe Weather,Southern
680,2008-01-01 00:00:00,Lightning Storm,2008-06-05 01:00:00,249408,"Montgomery, Prince Georges,  Maryland, Washington, D.C.",Washington,Severe Weather,West
681,2008-01-01 00:00:00,Severe Storms,2008-06-07 05:30:00,108000,Entire BGE Service Territory,Entire BGE Service Territory,Severe Weather,Other
682,2008-01-01 00:00:00,Thunderstorms,2008-06-05 21:30:00,253800,Northern Virginia,Virginia,Severe Weather,Southern
683,2008-01-01 00:00:00,Load Shedding/Voltage Reduction,2008-06-04 15:46:00,100948,Island of Puerto Rico,Puerto Rico,System Operations,Other
684,2008-01-01 00:00:00,Lightning Storm,2008-06-12 08:00:00,358000,Lower 2/3 of Michigan's Lower Peninsula,Michigan,Severe Weather,MidWest
685,2008-01-01 00:00:00,Severe Weather,2008-06-09 07:00:00,125000,The Entire ComEd Territory,Illinois,Severe Weather,MidWest
686,2008-01-01 00:00:00,Severe Storm,2008-06-16 23:30:00,150000,Southwestern Michigan (DECO Service Territory),Michigan,Severe Weather,MidWest
686,2008-01-01 00:00:00,Severe Storm,2008-06-16 23:30:00,150000,Southwestern Michigan (DECO Service Territory),Colorado,Severe Weather,West
686,2008-01-01 00:00:00,Severe Storm,2008-06-16 23:30:00,150000,Southwestern Michigan (DECO Service Territory),Delaware,Severe Weather,Southern
687,2008-01-01 00:00:00,Indequate Electric Resources to Serve Load,2008-06-09 19:00:00,19,Entergy System,Entergy System,Other,Other
688,2008-01-01 00:00:00,Fire/Breaker Failure,2008-06-09 20:25:00,75654,"Area Around West Orange Switching Station, New Jersey",New Jersey,Severe Weather,East
689,2008-01-01 00:00:00,Severe Storm,2008-06-13 17:30:00,68000,Upstate New York,New York,Severe Weather,East
690,2008-01-01 00:00:00,Inadequate Electric Resources to Serve Load,2008-06-10 18:00:00,19,Entergy System,Entergy System,Other,Other
691,2008-01-01 00:00:00,Severe Storms,2008-06-14 11:30:00,248800,"Bergen, Essex and Hudson Counties, New Jersey",New Jersey,Severe Weather,East
692,2008-01-01 00:00:00,Severe Thunderstorms,2008-06-14 15:59:00,198000,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",Delaware,Severe Weather,Southern
692,2008-01-01 00:00:00,Severe Thunderstorms,2008-06-14 15:59:00,198000,"Chester, Montgomery, Delaware, Philadelphia and Bucks County, Pennsylvania",Pennsylvania,Severe Weather,East
693,2008-01-01 00:00:00,Storm,2008-06-11 09:00:00,60000,All Six New England States,All Six New England States,Severe Weather,Other
694,2008-01-01 00:00:00,Uncontrolled Loss,2008-06-11 14:05:00,61000,New York State,New York,System Operations,East
700,2008-01-01 00:00:00,Flooding and Uncontrolled Loss,2008-06-18 16:00:00,21000,East Central Iowa,Iowa,System Operations,MidWest
701,2008-01-01 00:00:00,Severe Weather,2008-06-15 20:00:00,165000,The Entire ComEd Territory,Illinois,Severe Weather,MidWest
702,2008-01-01 00:00:00,Electrical System Separation,2008-06-15 20:42:00,9700,"City of Crawfordsville, Indiana",Indiana,Other,MidWest
703,2008-01-01 00:00:00,Thunderstorms,2008-06-16 23:19:00,115000,Northern Virginia,Virginia,Severe Weather,Southern
704,2008-01-01 00:00:00,Severe Thunderstorms,2008-06-19 20:30:00,234393,"North, Central and East Texas",Texas,Severe Weather,Southern
705,2008-01-01 00:00:00,Electrical System Separation/Severe Thunderstorms,2008-06-18 01:55:00,18000,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,New Mexico,Severe Weather,Other
705,2008-01-01 00:00:00,Electrical System Separation/Severe Thunderstorms,2008-06-18 01:55:00,18000,Southwestern Public Service Company Operating in the Panhandle of Texas and New Mexico,Texas,Severe Weather,Southern
706,2008-01-01 00:00:00,Thunderstorms/Uncontrolled Loss of Load,2008-06-17 23:00:00,37330,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",Oklahoma,Severe Weather,Southern
706,2008-01-01 00:00:00,Thunderstorms/Uncontrolled Loss of Load,2008-06-17 23:00:00,37330,"Texas Panhandle and Texas South Plains Regions, and Oklahoma Panhandle",Texas,Severe Weather,Southern
707,2008-01-01 00:00:00,Electrical System Separation/Severe Lightning Storms,2008-06-21 18:53:00,477,"Near Rogers Flat, California",California,Severe Weather,West
708,2008-01-01 00:00:00,Lightning Stirke/Uncontrolled Loss of Load,2008-06-22 17:05:00,,Northwest Indiana,Indiana,Severe Weather,MidWest
709,2008-01-01 00:00:00,Fire/Breaker Failure,2008-06-23 13:45:00,,Northcentral Indiana,Indiana,Severe Weather,MidWest
710,2008-01-01 00:00:00,Transmission Equipment Failure/Load Shedding,2008-06-23 23:28:00,32593,"Pinellas County, Florida",Florida,System Operations,Southern
711,2008-01-01 00:00:00,Thunderstorms,2008-06-26 21:30:00,53000,Southeastern Michigan (DTE Service Territory),Michigan,Severe Weather,MidWest
712,2008-01-01 00:00:00,Severe Wind Storm,2008-06-27 17:30:00,126000,"Omaha, Nebraska (Metro Area)",Nebraska,Severe Weather,MidWest
714,2008-01-01 00:00:00,Unit Tripped,2008-07-01 12:00:00,,"San Francisco Bay Area, California",California,Other,West
715,2008-01-01 00:00:00,Severe Weather,2008-07-06 12:00:00,239663,Lower 2/3 of Michigan's Lower Peninsula,Michigan,Severe Weather,MidWest
716,2008-01-01 00:00:00,Fuel Supply Deficiency,2008-01-01 00:00:00,,Restricted Hydroelectric Capability,Restricted Hydroelectric Capability,System Operations,Other
717,2008-01-01 00:00:00,Wild Land Fire,2008-07-02 23:28:00,200000,"Santa Barbara County, California, near Goleta",California,Severe Weather,West
718,2008-01-01 00:00:00,Brush Fire/Lines Loss/Transmission Emergency Declared,2008-07-03 01:10:00,37784,Goleta and Santa Barbara Areas of Southern California,California,Severe Weather,West
719,2008-01-01 00:00:00,Thunderstorms,2008-07-03 03:00:00,56000,Southeastern Michigan (DTE Service Territory),Michigan,Severe Weather,MidWest
720,2008-01-01 00:00:00,Heat Wave/Potential Fire Threat/Made Public Appeals,2008-07-10 17:00:00,0,ISO Balancing Area,ISO Balancing Area,Severe Weather,Other
721,2008-01-01 00:00:00,Unit Tripped,2008-07-10 17:21:00,,"San Francisco Bay Area, California",California,Other,West
722,2008-01-01 00:00:00,Storm,2008-07-22 18:00:00,185000,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",Iowa,Severe Weather,MidWest
722,2008-01-01 00:00:00,Storm,2008-07-22 18:00:00,185000,"Sioux City, Carroll, Des Moines, Iowa City, and Davenport Iowa, Rock Island, Moline, and Surrounding Area of Illinois",Illinois,Severe Weather,MidWest
723,2008-01-01 00:00:00,Severe Thunderstorms,2008-07-24 19:32:00,58000,Indiana,Indiana,Severe Weather,MidWest
724,2008-01-01 00:00:00,Severe Thunderstorms,2008-07-23 03:30:00,56000,Southwest Ohio,Ohio,Severe Weather,MidWest
725,2008-01-01 00:00:00,Indequate Electric Resources to Serve Load/Public Appeal,2008-07-24 05:09:00,,Texas Panhandle and Southeastern New Mexico,New Mexico,Other,Other
725,2008-01-01 00:00:00,Indequate Electric Resources to Serve Load/Public Appeal,2008-07-24 05:09:00,,Texas Panhandle and Southeastern New Mexico,Texas,Other,Southern
726,2008-01-01 00:00:00,Hurricane Dolly,2008-07-31 04:00:00,211266,"Port Isabel, Harlingen, Weslaco, Pharr, San Benito, Mission, McAllen, Edinburg, Texas",Texas,Severe Weather,Southern
732,2008-01-01 00:00:00,Electric System Separation/Severe Lightning Storms,2008-07-24 17:41:00,110000,"Bangor Hydro System, northern Maine",Maine,Severe Weather,East
734,2008-01-01 00:00:00,Severe Thunderstorms,2008-08-03 05:30:00,131115,Georgia and Alabama,Alabama,Severe Weather,Southern
734,2008-01-01 00:00:00,Severe Thunderstorms,2008-08-03 05:30:00,131115,Georgia and Alabama,Georgia,Severe Weather,Southern
735,2008-01-01 00:00:00,Severe Thunderstorms,2008-08-03 04:15:00,59500,"Mississippi, Louisiana, Texas",Louisiana,Severe Weather,Southern
735,2008-01-01 00:00:00,Severe Thunderstorms,2008-08-03 04:15:00,59500,"Mississippi, Louisiana, Texas",Mississippi,Severe Weather,Southern
735,2008-01-01 00:00:00,Severe Thunderstorms,2008-08-03 04:15:00,59500,"Mississippi, Louisiana, Texas",Texas,Severe Weather,Southern
736,2008-01-01 00:00:00,Severe Weather,2008-08-06 08:00:00,653000,The ComEd Territory,Illinois,Severe Weather,MidWest
737,2008-01-01 00:00:00,Severe Storms,2008-08-05 09:50:00,63000,Northwest Indiana,Indiana,Severe Weather,MidWest
738,2008-01-01 00:00:00,Declared Energy Emergency Alert 1/Made Public Appeals,2008-08-09 20:46:00,0,Texas Panhandle and Eastern New Mexico,New Mexico,Other,Other
738,2008-01-01 00:00:00,Declared Energy Emergency Alert 1/Made Public Appeals,2008-08-09 20:46:00,0,Texas Panhandle and Eastern New Mexico,Texas,Other,Southern
739,2008-01-01 00:00:00,Made Public Appeals,2008-08-15 17:00:00,8000,Part of Seattle's Downtown,Washington,Other,West
740,2008-01-01 00:00:00,Lightning/Transmission Equipment Damage,2008-08-16 07:30:00,71823,City of Lubbock,Texas,Severe Weather,Southern
741,2008-01-01 00:00:00,Shed Firm Load/Voltage Reduction,2008-08-16 15:00:00,200000,Island of Puerto Rico,Puerto Rico,System Operations,Other
742,2008-01-01 00:00:00,Shed Firm Load,2008-08-19 18:44:00,100000,North Part of Island,North Part of Island,Other,Other
743,2008-01-01 00:00:00,Tropical Storm Fay,2008-08-22 22:00:00,101950,Florida,Florida,Severe Weather,Southern
744,2008-01-01 00:00:00,Tropical Storm Fay,2008-08-25 08:00:00,430000,"Alachua, Bay, Brevard, Citrus, Columbia, Dixie, Flagler, Franklin, Gilchrist, Gulf, Hamilton, Hardee, Hernando, Highlands, Jefferson, Lafayette, Lake, Leon, Levy, Madison, Marion, Orange, Osceola, Pasco, Pinellas, Polk, Seminole, Sumter,  Suwannee, Taylor, Volusia and Wakulla Counties in Florida",Florida,Severe Weather,Southern
745,2008-01-01 00:00:00,Fuel Supply Emergency-Low Coal Inventory Levels,2008-08-23 12:00:00,0,-,-,System Operations,Other
746,2008-01-01 00:00:00,Tropical Storm Fay,2008-08-24 14:00:00,87390,Georgia and Alabama,Alabama,Severe Weather,Southern
746,2008-01-01 00:00:00,Tropical Storm Fay,2008-08-24 14:00:00,87390,Georgia and Alabama,Georgia,Severe Weather,Southern
747,2008-01-01 00:00:00,Fuel Supply Curtailed,2008-09-19 09:00:00,0,"Plaquemine, Louisiana",Louisiana,System Operations,Southern
748,2008-01-01 00:00:00,Hurricane Gustav,2008-09-03 09:00:00,964000,"Louisiana, Mississippi, Arkansas",Arkansas,Severe Weather,Other
748,2008-01-01 00:00:00,Hurricane Gustav,2008-09-03 09:00:00,964000,"Louisiana, Mississippi, Arkansas",Louisiana,Severe Weather,Southern
748,2008-01-01 00:00:00,Hurricane Gustav,2008-09-03 09:00:00,964000,"Louisiana, Mississippi, Arkansas",Mississippi,Severe Weather,Southern
750,2008-01-01 00:00:00,Hurricane Gustav,2008-09-13 19:22:00,150000,Primarily South and Central Louisiana,Louisiana,Severe Weather,Southern
751,2008-01-01 00:00:00,Hurricane Gustav,2008-09-10 16:00:00,246092,"Bayou Division and North Lake Division, Louisiana",Louisiana,Severe Weather,Southern
752,2008-01-01 00:00:00,Tropical Storm Hanna,2008-09-06 10:30:00,57000,Eastern North Carolina,North Carolina,Severe Weather,Southern
753,2008-01-01 00:00:00,Tropical Storm Hanna,2008-09-06 16:06:00,64463,North East North Carolina and Virginia,North Carolina,Severe Weather,Southern
753,2008-01-01 00:00:00,Tropical Storm Hanna,2008-09-06 16:06:00,64463,North East North Carolina and Virginia,Virginia,Severe Weather,Southern
754,2008-01-01 00:00:00,Fuel Supply Deficiency,2008-09-09 00:28:00,0,A.D. Edmonston Pumping Plant,California,System Operations,West
755,2008-01-01 00:00:00,Hurricane Ike,2008-09-14 13:00:00,705000,"Primarily Southeast Texas, Louisiana, and Arkansas",Arkansas,Severe Weather,Other
755,2008-01-01 00:00:00,Hurricane Ike,2008-09-14 13:00:00,705000,"Primarily Southeast Texas, Louisiana, and Arkansas",Louisiana,Severe Weather,Southern
755,2008-01-01 00:00:00,Hurricane Ike,2008-09-14 13:00:00,705000,"Primarily Southeast Texas, Louisiana, and Arkansas",Texas,Severe Weather,Southern
756,2008-01-01 00:00:00,Hurricane Ike,2008-10-01 23:59:00,2142678,Greater Houston-Galveston Metro Area,Texas,Severe Weather,Southern
757,2008-01-01 00:00:00,Hurricane Ike,2008-10-01 23:59:00,2504366,Greater Houston Area-Eastern Region of ERCOT,Colorado,Severe Weather,West
758,2008-01-01 00:00:00,Hurricane Ike,2008-09-27 19:00:00,113247,Galveston and Brazoria Counties,Texas,Severe Weather,Southern
759,2008-01-01 00:00:00,Hurricane Ike,2008-09-27 14:40:00,50000,Southwest Louisiana,Louisiana,Severe Weather,Southern
765,2008-01-01 00:00:00,Hurricane Ike,2008-09-15 08:00:00,238392,"North, Central and East Texas",Texas,Severe Weather,Southern
766,2008-01-01 00:00:00,Hurricane Ike,2008-09-16 19:44:00,184501,Texas and Louisana,Texas,Severe Weather,Southern
767,2008-01-01 00:00:00,Tropical Depression Ike,2008-09-14 14:38:00,875000,"Ohio, Kentucky, Indiana",Indiana,Other,MidWest
767,2008-01-01 00:00:00,Tropical Depression Ike,2008-09-14 14:38:00,875000,"Ohio, Kentucky, Indiana",Kentucky,Other,Southern
767,2008-01-01 00:00:00,Tropical Depression Ike,2008-09-14 14:38:00,875000,"Ohio, Kentucky, Indiana",Ohio,Other,MidWest
768,2008-01-01 00:00:00,Hurricane Ike,2008-09-18 15:00:00,107000,Missouri and Illinois,Illinois,Severe Weather,MidWest
768,2008-01-01 00:00:00,Hurricane Ike,2008-09-18 15:00:00,107000,Missouri and Illinois,Missouri,Severe Weather,MidWest
769,2008-01-01 00:00:00,High Winds,2008-09-21 17:00:00,18000,"City of Owensboro, Kentucky",Kentucky,Severe Weather,Southern
770,2008-01-01 00:00:00,Tropical Depression Ike,2008-09-14 16:30:00,375000,State of Kentucky,Kentucky,Other,Southern
771,2008-01-01 00:00:00,Hurricane Ike,2008-09-17 12:00:00,95000,Dayton Ohio Area,Ohio,Severe Weather,MidWest
772,2008-01-01 00:00:00,Wind Storm,2008-09-20 23:00:00,650000,"Northern Indiana, Central and Central Southern Ohio",Indiana,Severe Weather,MidWest
772,2008-01-01 00:00:00,Wind Storm,2008-09-20 23:00:00,650000,"Northern Indiana, Central and Central Southern Ohio",Ohio,Severe Weather,MidWest
773,2008-01-01 00:00:00,Wind Storm,2008-09-19 12:38:00,124596,Western Pennsylvania,Pennsylvania,Severe Weather,East
774,2008-01-01 00:00:00,Wind Storm,2008-09-22 17:11:00,564728,"Southern, Eastern, and Central Ohio",Ohio,Severe Weather,MidWest
775,2008-01-01 00:00:00,Wind Storm,2008-09-22 03:20:00,245164,Northeast Ohio,Ohio,Severe Weather,MidWest
776,2008-01-01 00:00:00,Tropical Depression Ike,2008-09-14 23:59:00,105000,Allegheny and Beaver Counties in Pennsylvania,Pennsylvania,Other,East
777,2008-01-01 00:00:00,Tropical Depression Ike,2008-09-19 16:30:00,160875,Western Pennsylvania,Pennsylvania,Other,East
778,2008-01-01 00:00:00,Shed Firm Load,2008-09-22 06:39:00,43600,Island of Puerto Rico,Puerto Rico,Other,Other
779,2008-01-01 00:00:00,Electrical System Separation,2008-09-30 14:05:00,10000,"Plumas County, California",California,Other,West
781,2008-01-01 00:00:00,Load Shedding,2008-10-02 09:50:00,0,Louisiana,Louisiana,System Operations,Southern
782,2008-01-01 00:00:00,Severe Storm,2008-10-27 07:00:00,52000,Connecticut,Connecticut,Severe Weather,Other
784,2008-01-01 00:00:00,Load Shedding,2008-11-07 11:54:00,140000,Goleta and Santa Barbara Areas of Southern California,California,System Operations,West
785,2008-01-01 00:00:00,Load Shedding,2008-11-07 11:54:00,400000,Southern California,California,System Operations,West
786,2008-01-01 00:00:00,Shed Firm Load,2008-11-11 00:19:00,261000,Island of Puerto Rico,Puerto Rico,Other,Other
787,2008-01-01 00:00:00,Brush Fire/Shed Firm Load,2008-11-15 10:10:00,115500,City of Los Angeles,California,Severe Weather,West
789,2008-01-01 00:00:00,Fire/Load Shedding,2008-12-02 07:00:00,53000,"St. Louis, Missouri",Missouri,Severe Weather,MidWest
790,2008-01-01 00:00:00,Lines Loss/Transmission,2008-12-10 04:12:00,156729,Central New Jersey,New Jersey,System Operations,East
791,2008-01-01 00:00:00,Equipment Failure/Made Public Appeal,2008-12-10 20:29:00,3,Southern Oregon,Oregon,Transmission Interruption,West
792,2008-01-01 00:00:00,Snow Storm,2008-12-13 23:59:00,91300,"Southern Louisiana, Southern and Central Mississippi",Louisiana,Severe Weather,Southern
792,2008-01-01 00:00:00,Snow Storm,2008-12-13 23:59:00,91300,"Southern Louisiana, Southern and Central Mississippi",Mississippi,Severe Weather,Southern
793,2008-01-01 00:00:00,Ice Storm,2008-12-15 00:00:00,60000,Northern Dutchess County and Western Ulster County in the Mid-Hudson Region of New York State,New York,Severe Weather,East
794,2008-01-01 00:00:00,Ice Storm,2008-12-22 00:00:00,970000,New England,New England,Severe Weather,Other
795,2008-01-01 00:00:00,Ice Storm,2008-12-19 13:24:00,190000,Eastern New York,New York,Severe Weather,East
796,2008-01-01 00:00:00,Ice Storm,2008-12-14 09:52:00,169757,Southern and Central Maine,Maine,Severe Weather,East
797,2008-01-01 00:00:00,Declared Stage 1 Electric Emergency/Made Public Appeal,2008-12-21 09:17:00,0,Humboldt Area of California,California,Other,West
798,2008-01-01 00:00:00,Electrical System Separation,2008-12-19 06:17:00,638,"East of Oroville, California",California,Other,West
799,2008-01-01 00:00:00,Ice Storm,2008-12-22 12:00:00,140000,"Indiana, Michigan and Northwest Ohio",Indiana,Severe Weather,MidWest
799,2008-01-01 00:00:00,Ice Storm,2008-12-22 12:00:00,140000,"Indiana, Michigan and Northwest Ohio",Michigan,Severe Weather,MidWest
799,2008-01-01 00:00:00,Ice Storm,2008-12-22 12:00:00,140000,"Indiana, Michigan and Northwest Ohio",Ohio,Severe Weather,MidWest
800,2008-01-01 00:00:00,Ice Storm,2008-12-20 08:20:00,50000,Northwest Indiana,Indiana,Severe Weather,MidWest
801,2008-01-01 00:00:00,Load Shedding,2008-12-26 15:34:00,50000,"Orangevale Area of Sacramento, California",California,System Operations,West
807,2008-01-01 00:00:00,Lightning,2008-12-27 17:00:00,294000,"Island of Oahu, Hawaii",Hawaii,Severe Weather,West
808,2008-01-01 00:00:00,Wind Storm,2008-01-01 23:30:00,247847,Southeastern Michigan,Michigan,Severe Weather,MidWest
809,2008-01-01 00:00:00,Wind Storm,2008-12-31 18:00:00,210517,Michigan Lower Peninsula,Michigan,Severe Weather,MidWest
810,2008-01-01 00:00:00,Wind Storm,2008-12-28 23:30:00,230000,Michigan Lower Peninsula,Michigan,Severe Weather,MidWest
811,2008-01-01 00:00:00,Shed Firm Load,2008-12-30 16:37:00,9700,"Crawfordsville, Indiana",Indiana,Other,MidWest
818,2009-01-01 00:00:00,Severe Storm,2009-01-06 18:00:00,157019,North and Central Texas,Texas,Severe Weather,Southern
819,2009-01-01 00:00:00,High Winds,2009-01-07 20:05:00,70000,Piedmont of North and South Carolina,South Carolina,Severe Weather,Southern
820,2009-01-01 00:00:00,Transmission Equipment Failure,2009-01-09 11:25:00,31000,Florida Keys,Florida,Transmission Interruption,Southern
821,2009-01-01 00:00:00,Fuel Supply Deficiency,2009-01-25 08:00:00,,"PJM, Indiana",Indiana,System Operations,MidWest
822,2009-01-01 00:00:00,Shed Load,2009-01-22 17:05:00,9700,"Crawfordsville, Indiana",Indiana,Other,MidWest
823,2009-01-01 00:00:00,Ice Storm,2009-01-29 16:30:00,383000,State of Kentucky,Kentucky,Severe Weather,Southern
824,2009-01-01 00:00:00,Ice Storm,2009-01-31 17:15:00,190000,Central and Eastern Kentrucky,Kentucky,Severe Weather,Southern
825,2009-01-01 00:00:00,Ice Storm,2009-02-04 19:30:00,3,Western Kentucky and Southern Indiana,Indiana,Severe Weather,MidWest
825,2009-01-01 00:00:00,Ice Storm,2009-02-04 19:30:00,3,Western Kentucky and Southern Indiana,Kentucky,Severe Weather,Southern
826,2009-01-01 00:00:00,Winter Storm,2009-01-30 18:00:00,62500,South Central and Southeast Missouri,Missouri,Severe Weather,MidWest
827,2009-01-01 00:00:00,Ice Storm,2009-02-03 17:00:00,111818,Northern Arkansas,Arkansas,Severe Weather,Other
828,2009-01-01 00:00:00,Ice/Snow Storm,2009-01-29 09:00:00,59402,CSWS-AEP West,CSWS-AEP West,Severe Weather,Other
829,2009-01-01 00:00:00,Ice Storm,2009-01-29 06:00:00,215700,Northern Arkansas,Arkansas,Severe Weather,Other
830,2009-01-01 00:00:00,Ice Storm,2009-01-27 22:17:00,1,TVA Service Territory,Virginia,Severe Weather,Southern
831,2009-01-01 00:00:00,Winter Storm,2009-01-30 21:20:00,1,East Central Missouri,Missouri,Severe Weather,MidWest
832,2009-01-01 00:00:00,Winter Storm,2009-02-13 08:03:00,230300,"Illinois, Indiana, Ohio and Kentucky",Illinois,Severe Weather,MidWest
832,2009-01-01 00:00:00,Winter Storm,2009-02-13 08:03:00,230300,"Illinois, Indiana, Ohio and Kentucky",Indiana,Severe Weather,MidWest
832,2009-01-01 00:00:00,Winter Storm,2009-02-13 08:03:00,230300,"Illinois, Indiana, Ohio and Kentucky",Kentucky,Severe Weather,Southern
832,2009-01-01 00:00:00,Winter Storm,2009-02-13 08:03:00,230300,"Illinois, Indiana, Ohio and Kentucky",Ohio,Severe Weather,MidWest
833,2009-01-01 00:00:00,Ice Storm,2009-02-07 17:00:00,3500,"City of Henderson, Kentucky and Portions of Henderson County, Kentucky",Kentucky,Severe Weather,Southern
834,2009-01-01 00:00:00,Ice Storm,2009-02-05 18:00:00,75000,"Indiana, Evansville, Metro Area",Indiana,Severe Weather,MidWest
835,2009-01-01 00:00:00,Ice/Snow Storm,2009-02-13 08:03:00,53700,Southern Indiana,Indiana,Severe Weather,MidWest
836,2009-01-01 00:00:00,Ice Storm,2009-02-05 08:00:00,109527,Northeast Tennessee and Southwest Kentucky,Kentucky,Severe Weather,Southern
836,2009-01-01 00:00:00,Ice Storm,2009-02-05 08:00:00,109527,Northeast Tennessee and Southwest Kentucky,Tennessee,Severe Weather,Southern
837,2009-01-01 00:00:00,Ice/Snow Storm,2009-01-30 21:20:00,53600,Northern Kentucky and Southwest Ohio,Kentucky,Severe Weather,Southern
837,2009-01-01 00:00:00,Ice/Snow Storm,2009-01-30 21:20:00,53600,Northern Kentucky and Southwest Ohio,Ohio,Severe Weather,MidWest
839,2009-01-01 00:00:00,High Winds,2009-02-11 12:00:00,64801,"Houston, Texas",Texas,Severe Weather,Southern
840,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-13 17:00:00,279813,"Kentucky, West Virginia and Ohio",Kentucky,Severe Weather,Southern
840,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-13 17:00:00,279813,"Kentucky, West Virginia and Ohio",Ohio,Severe Weather,MidWest
840,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-13 17:00:00,279813,"Kentucky, West Virginia and Ohio",Virginia,Severe Weather,Southern
840,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-13 17:00:00,279813,"Kentucky, West Virginia and Ohio",West Virginia,Severe Weather,Southern
841,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-16 20:10:00,374644,"Maryland, Virginia, West Virginia and Pennsylvania",Maryland,Severe Weather,Southern
841,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-16 20:10:00,374644,"Maryland, Virginia, West Virginia and Pennsylvania",Pennsylvania,Severe Weather,East
841,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-16 20:10:00,374644,"Maryland, Virginia, West Virginia and Pennsylvania",Virginia,Severe Weather,Southern
841,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-16 20:10:00,374644,"Maryland, Virginia, West Virginia and Pennsylvania",West Virginia,Severe Weather,Southern
842,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-12 11:00:00,78000,State of Kentucky,Kentucky,Severe Weather,Southern
843,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-12 12:00:00,63000,Northern Kentucky and Southwest Ohio,Kentucky,Severe Weather,Southern
843,2009-01-01 00:00:00,Severe Thunderstorms,2009-02-12 12:00:00,63000,Northern Kentucky and Southwest Ohio,Ohio,Severe Weather,MidWest
844,2009-01-01 00:00:00,High Winds,2009-02-12 06:00:00,184000,Central and Eastern Ohio,Ohio,Severe Weather,MidWest
845,2009-01-01 00:00:00,High Winds,2009-02-15 22:00:00,132000,Western and North Eastern Pennsylvania,Pennsylvania,Severe Weather,East
846,2009-01-01 00:00:00,High Winds,2009-02-15 03:00:00,184000,Central and Eastern Ohio,Ohio,Severe Weather,MidWest
847,2009-01-01 00:00:00,Ice/Snow Storm,2009-02-24 13:46:00,131000,Southern Central and Western Maine,Maine,Severe Weather,East
849,2009-01-01 00:00:00,Transmission Equipment Failure,2009-03-01 03:00:00,132000,"City of El Paso, Texas, County of El Paso",Texas,Transmission Interruption,Southern
850,2009-01-01 00:00:00,Severe Weather,2009-03-01 23:25:00,60000,Southern Balancing Area,Southern Balancing Area,Severe Weather,Other
851,2009-01-01 00:00:00,Ice/Snow Storm,2009-03-03 16:06:00,180000,Duke Energy Carolinas Balance Authority,North Carolina,Severe Weather,Southern
852,2009-01-01 00:00:00,Winter Storm,2009-03-03 18:00:00,217000,Central Virginia - Spotsylvania County,Virginia,Severe Weather,Southern
853,2009-01-01 00:00:00,Transformer Faulted/Unit Tripped,2009-04-26 06:05:00,,Southwest Michigan,Michigan,System Operations,MidWest
859,2009-01-01 00:00:00,Made Public Appeals,2009-03-04 20:17:00,0,"Roanoke, Virginia",Virginia,Other,Southern
860,2009-01-01 00:00:00,Unit Shut Down,2009-03-08 23:45:00,,"San Francisco Bay Area, California",California,Other,West
862,2009-01-01 00:00:00,Winter Storm,2009-04-08 12:00:00,70793,"Michigan, Lower Peninsula",Michigan,Severe Weather,MidWest
863,2009-01-01 00:00:00,Severe Thunderstorms,2009-04-11 02:30:00,56679,Alabama and Georgia,Alabama,Severe Weather,Southern
863,2009-01-01 00:00:00,Severe Thunderstorms,2009-04-11 02:30:00,56679,Alabama and Georgia,Georgia,Severe Weather,Southern
864,2009-01-01 00:00:00,Fuel Supply Deficiency,2009-01-01 00:00:00,,Restricted Hydro Electric Capability,Restricted Hydro Electric Capability,System Operations,Other
