,Event Date,Event Type,Restoration,Number of Customers Affected,Area Affected,States,Event Category,Region
3946,2022-07-12 10:45:00,Actual Physical Attack,2022-07-12 11:00:00,0,Washington: Oregon: Clatsop County; Idaho: Montana:,Idaho,Vandalism,West
3946,2022-07-12 10:45:00,Actual Physical Attack,2022-07-12 11:00:00,0,Washington: Oregon: Clatsop County; Idaho: Montana:,Montana,Vandalism,West
3946,2022-07-12 10:45:00,Actual Physical Attack,2022-07-12 11:00:00,0,Washington: Oregon: Clatsop County; Idaho: Montana:,Oregon,Vandalism,West
3946,2022-07-12 10:45:00,Actual Physical Attack,2022-07-12 11:00:00,0,Washington: Oregon: Clatsop County; Idaho: Montana:,Washington,Vandalism,West
3947,2022-07-12 18:00:00,Severe Weather,2022-07-12 22:00:00,50200,District of Columbia: Maryland:,District of Columbia,Severe Weather,Other
3947,2022-07-12 18:00:00,Severe Weather,2022-07-12 22:00:00,50200,District of Columbia: Maryland:,Maryland,Severe Weather,Southern
3948,2022-07-13 11:30:00,System Operations,2022-07-13 21:00:00,,Texas:,Texas,System Operations,Southern
3949,2022-07-13 10:00:00,Vandalism,2022-07-13 13:00:00,0,Colorado: La Plata County;,Colorado,Vandalism,West
3950,2022-07-15 07:10:00,Actual Physical Attack,2022-07-15 07:11:00,0,Nebraska: Wayne County;,Nebraska,Vandalism,MidWest
3951,2022-07-18 09:15:00,Fuel Supply Deficiency,,0,South Carolina:,South Carolina,System Operations,Southern
3952,2022-07-18 13:09:00,Vandalism,2022-07-18 13:11:00,0,Oregon: Josephine County;,Oregon,Vandalism,West
3953,2022-07-19 15:42:00,System Operations,2022-07-19 16:12:00,0,Florida: Palm Beach County;,Florida,System Operations,Southern
3955,2022-07-23 20:45:00,Severe Weather,2022-07-24 11:30:00,93750,"Michigan: Muskegon County, Ottawa County, Kent County, Montcalm County, Ionia County, Allegan County, Van Buren County, Kalamazoo County, Barry County, Mason County, Shiawassee County, Ingham County, Genesee County, Saginaw County, Midland County, Wexford County, Grand Traverse County;",Michigan,Severe Weather,MidWest
3956,2022-07-25 00:38:00,Transmission Interruption,2022-07-25 13:46:00,0,Pennsylvania: Erie County;,Pennsylvania,Transmission Interruption,East
3957,2022-07-26 06:38:00,System Operations,2022-07-26 12:57:00,0,Texas: Hays County;,Texas,System Operations,Southern
3958,2022-07-26 04:20:00,Suspicious Activity,2022-07-26 04:57:00,,California: Santa Barbara County;,California,Vandalism,West
3959,2022-07-26 21:00:00,Suspicious Activity,2022-07-26 21:20:00,0,Pennsylvania: York County;,Pennsylvania,Vandalism,East
3960,2022-07-28 19:25:00,Actual Physical Attack,2022-07-28 22:41:00,0,California: Placer County;,California,Vandalism,West
3961,2022-07-29 02:00:00,Suspicious Activity,2022-07-29 02:01:00,0,Pennsylvania: York County;,Pennsylvania,Vandalism,East
3962,2022-07-30 19:35:00,System Operations,2022-08-01 13:17:00,0,California: Shasta County;,California,System Operations,West
3963,2022-07-31 06:36:00,System Operations,2022-07-31 07:13:00,0,New York: Saratoga County;,New York,System Operations,East
